source_file,segment_id,health_state_code,damage_size_mils,target,mean,std,mean_abs_dev,rms,max_abs,skewness,kurtosis,crest_factor,form_factor,shape_factor,impulse_factor,spectral_mean,spectral_std,spectral_skewness,spectral_kurtosis,mean_frequency,frequency_std,rms_frequency,root_variance_frequency,spectral_centroid_proxy,frequency_variation_factor,frequency_variance,frequency_skewness,dominant_frequency,spectral_energy
B007DE,0,B,7,Ball Fault,0.0178403843149038,0.1227463797763012,0.0974248536705603,0.1240064364716619,0.4188996923076923,-0.1186302975621866,2.959224088846608,3.3780479806257446,4.299721031392982,1.272841906347496,0.1555608303434475,0.0017120241716655,0.0051786780151677,6.121185248850361,48.09726968988133,3300.4837776285503,127.89806154806304,4521.937047144743,13486.766557748388,56.32571096826464,0.0387513074340755,0.0001784422783514,0.0016633249392566,0.0,0.0
B007DE,1,B,7,Ball Fault,0.01993611328125,0.1258090142498538,0.101533919472621,0.1273484519283495,0.4188996923076923,-0.045594680974367,2.835234473344433,3.289397601341704,4.125711825993776,1.254245404785043,0.1572908064774784,0.0017621243768398,0.0053112493941477,5.779420925423176,41.99086359101665,3500.5816632010738,148.6516258044083,4979.379783732687,14799.495743304082,57.89585509686048,0.0424648358777253,0.0001399114221463,0.0012217539968591,0.0,0.0
B007DE,2,B,7,Ball Fault,0.0222548203125,0.132487931797065,0.1065907697771512,0.1343121672552358,0.4677156923076923,0.1747823071326354,2.919874755113485,3.4823032184335445,4.387956792933787,1.2600731520753772,0.1673823972731155,0.0018731418823569,0.0055921471545345,5.0556367107901705,30.05637591818581,3108.7650266883825,120.00800317593502,4165.70088313299,12745.441893331596,54.6695255468021,0.0386031115718558,0.0001483796567353,0.0010492538768776,0.0,0.0
B007DE,3,B,7,Ball Fault,0.0204819969951923,0.1481893862075576,0.1174590299659142,0.149562307027022,0.4685501538461538,0.0996668475209339,2.85311191817059,3.132809082448153,3.9890517909276433,1.2733146789176102,0.1889386911474959,0.0019527063436575,0.0062853044273765,5.688869046271284,38.37046652423781,3374.556030186036,140.2358686038095,4632.367622625749,14050.929605897116,56.871083703251394,0.0415568351360515,0.0002238067282544,0.0017609236595988,0.0,0.0
B007DE,4,B,7,Ball Fault,0.0204702827524038,0.1496504954972613,0.1193332964770977,0.1510078411464704,0.4685501538461538,0.0403594522474509,2.7272676822106554,3.1028200276810955,3.926399149931111,1.265429227252191,0.1889671556482181,0.0018968415083088,0.0063694763162898,5.407672800479279,33.320573158337915,3011.8190396561445,103.52184325077592,3836.776287574632,10947.20029692107,53.92863058158781,0.0343718669308216,0.0002771479616746,0.0019986933847724,0.0,0.0
B007DE,5,B,7,Ball Fault,0.021375946514423,0.1404111140811054,0.1108569352534367,0.141995019084666,0.4894116923076922,0.0379338494871861,3.0179140430619538,3.4466821122498352,4.414804461162657,1.2808853028458942,0.1799969281391134,0.0018666875815374,0.0059568409944517,5.173586451783181,30.00890543917547,3126.318321229094,119.93018383715116,4180.8003868854985,12724.79754001046,54.83054018876655,0.0383614755486579,0.000181013446158,0.0012436963407271,0.0,0.0
B007DE,6,B,7,Ball Fault,0.0209597343749999,0.1570674453494925,0.124934059387207,0.1584217373537859,0.584748923076923,-0.0232777216923846,3.136223797192893,3.691090205449946,4.6804604440540585,1.2680428229966567,0.1993194678340505,0.0019656877233047,0.0066909807100298,6.237408762354046,48.23117388351446,3152.0478881651493,126.55081432811978,4252.380148971064,13324.935405453827,55.00451866744249,0.0401487600500215,0.000359840500165,0.0033122775412249,0.0,0.0
B007DE,7,B,7,Ball Fault,0.0212376165865384,0.1473963415452496,0.1166848482337364,0.1488828721387397,0.584748923076923,-0.034069729195926,3.3440041465891714,3.927576857410517,5.011352647137074,1.275940058991258,0.1874876081403862,0.0018830955904096,0.0062725660748353,6.763829912585976,64.2336964405682,3226.3088663963563,128.3688959572492,4377.197571074708,13345.205892962354,55.65914094233855,0.039788160797088,0.0003807949542992,0.0045234438166222,0.0,0.0
B007DE,8,B,7,Ball Fault,0.0221673200120192,0.1381888472085823,0.1081890227253253,0.1399222043626435,0.5789076923076923,-0.0815725811220307,3.4044386479787674,4.137354002852241,5.350891224680405,1.2933123974867913,0.1784848179870324,0.001970605660861,0.0058231116782688,6.201695749238668,51.49816273406673,3805.472500260201,171.76751933868576,5427.127104765741,15355.48942298352,60.28022047837512,0.0451369755863276,0.0001988249218635,0.0020097552307495,0.0,0.0
B007DE,9,B,7,Ball Fault,0.0216073792067307,0.1432580724144349,0.1129268743831928,0.1448438235233799,0.5789076923076923,-0.1607265606152083,3.2738141498240734,3.9967716829447535,5.1263943633407845,1.282633777960452,0.1836937135878848,0.0018653929778367,0.0060890574896857,5.619862287288666,37.32072205835845,3041.8153077866755,107.66734048458716,3932.812975109139,11593.362105039558,54.16777609706797,0.0353957520724456,0.0002606404342158,0.0020251858116362,0.0,0.0
