Specific Label,Health State,Damage Size,Signal Type,Mean,Standard deviation,Mean absolute deviation,Root mean square,Maximum absolute value,Skewness,Kurtosis,Crest factor,Form factor,Shape factor,Impulse factor,Mean of power spectrum,Standard deviation of power spectrum,Skewness of power spectrum,Kurtosis of power spectrum,Mean frequency,Standard deviation of frequency,Root mean square frequency,Root variance frequency,Frequency centroid,Frequency variation factor,Frequency variance,Frequency skewness
B007DE,B,007,DE,0.017840384314903847,0.12274637977630123,0.09742485367056039,0.12400643647166194,0.4188996923076923,-0.11863029756218667,2.959224088846608,3.3780479806257446,4.299721031392982,1.272841906347496,0.15556083034344756,0.0017120241716655359,0.0051786780151677776,6.121185248850361,48.09726968988133,3300.4837776285503,127.89806154806303,4521.937047144743,13486.766557748388,56.32571096826464,0.03875130743407556,0.00017844227835149873,0.0016633249392566342
B007DE,B,007,DE,0.01993611328125,0.12580901424985383,0.10153391947262104,0.12734845192834954,0.4188996923076923,-0.04559468097436704,2.835234473344433,3.289397601341704,4.1257118259937755,1.254245404785043,0.15729080647747842,0.001762124376839874,0.005311249394147726,5.779420925423176,41.99086359101665,3500.5816632010738,148.6516258044083,4979.379783732687,14799.495743304082,57.89585509686048,0.04246483587772531,0.0001399114221463704,0.0012217539968591364
B007DE,B,007,DE,0.0222548203125,0.132487931797065,0.10659076977715126,0.13431216725523584,0.46771569230769233,0.17478230713263543,2.919874755113485,3.4823032184335445,4.387956792933787,1.2600731520753772,0.1673823972731155,0.001873141882356913,0.005592147154534535,5.0556367107901705,30.056375918185815,3108.7650266883825,120.00800317593502,4165.70088313299,12745.441893331596,54.6695255468021,0.038603111571855836,0.00014837965673539035,0.0010492538768776581
B007DE,B,007,DE,0.020481996995192306,0.14818938620755767,0.1174590299659142,0.149562307027022,0.4685501538461538,0.09966684752093395,2.85311191817059,3.132809082448153,3.9890517909276433,1.2733146789176102,0.1889386911474959,0.0019527063436575436,0.006285304427376575,5.688869046271284,38.37046652423781,3374.556030186036,140.2358686038095,4632.367622625749,14050.929605897116,56.871083703251394,0.0415568351360515,0.00022380672825446894,0.0017609236595988308
B007DE,B,007,DE,0.020470282752403847,0.14965049549726137,0.11933329647709773,0.1510078411464704,0.4685501538461538,0.04035945224745098,2.7272676822106554,3.1028200276810955,3.926399149931111,1.265429227252191,0.18896715564821817,0.0018968415083088863,0.006369476316289874,5.407672800479279,33.320573158337915,3011.8190396561445,103.52184325077593,3836.7762875746316,10947.20029692107,53.92863058158781,0.03437186693082161,0.0002771479616746163,0.0019986933847724727
B007DE,B,007,DE,0.021375946514423073,0.14041111408110546,0.11085693525343673,0.141995019084666,0.48941169230769227,0.03793384948718611,3.0179140430619538,3.4466821122498352,4.414804461162657,1.2808853028458942,0.17999692813911344,0.0018666875815374372,0.0059568409944517915,5.173586451783181,30.00890543917547,3126.3183212290946,119.93018383715115,4180.8003868854985,12724.79754001046,54.83054018876655,0.03836147554865791,0.00018101344615809031,0.0012436963407271603
B007DE,B,007,DE,0.020959734374999997,0.15706744534949252,0.124934059387207,0.15842173735378592,0.584748923076923,-0.02327772169238461,3.1362237971928932,3.691090205449946,4.6804604440540585,1.2680428229966567,0.1993194678340505,0.0019656877233047744,0.0066909807100298474,6.237408762354046,48.23117388351446,3152.0478881651493,126.55081432811978,4252.380148971064,13324.935405453829,55.00451866744249,0.04014876005002156,0.0003598405001650978,0.003312277541224972
B007DE,B,007,DE,0.02123761658653846,0.14739634154524964,0.11668484823373648,0.1488828721387397,0.584748923076923,-0.03406972919592602,3.3440041465891714,3.9275768574105165,5.011352647137074,1.275940058991258,0.18748760814038626,0.0018830955904096235,0.006272566074835318,6.763829912585976,64.2336964405682,3226.3088663963563,128.3688959572492,4377.197571074708,13345.205892962354,55.659140942338546,0.039788160797088086,0.00038079495429923816,0.004523443816622261
B007DE,B,007,DE,0.02216732001201923,0.1381888472085823,0.10818902272532537,0.1399222043626435,0.5789076923076923,-0.08157258112203074,3.4044386479787674,4.137354002852241,5.350891224680405,1.2933123974867913,0.17848481798703245,0.0019706056608610476,0.005823111678268827,6.201695749238668,51.49816273406673,3805.472500260201,171.76751933868576,5427.127104765741,15355.48942298352,60.280220478375114,0.04513697558632761,0.00019882492186351183,0.002009755230749532
B007DE,B,007,DE,0.021607379206730767,0.1432580724144349,0.1129268743831928,0.14484382352337996,0.5789076923076923,-0.16072656061520832,3.2738141498240734,3.9967716829447544,5.1263943633407845,1.282633777960452,0.1836937135878848,0.0018653929778367708,0.006089057489685798,5.619862287288666,37.32072205835845,3041.8153077866755,107.66734048458716,3932.812975109139,11593.362105039558,54.16777609706797,0.03539575207244566,0.00026064043421580825,0.0020251858116362765
B007DE,B,007,DE,0.021119251802884615,0.13876342399386293,0.11158668900885949,0.14032786123646057,0.4443507692307692,-0.13139192684397835,2.8328277818617824,3.1665185039912527,3.9821126800839997,1.2575681067597513,0.17447532782251945,0.0020195296811969924,0.005829221220315941,5.82675766424082,42.72056726043206,3949.3793719682394,180.97975938830194,5640.57296233232,15565.223575030515,61.387291946948906,0.04582486065351267,0.00015052439501363866,0.0013312835965231843
B007DE,B,007,DE,0.02184543299278846,0.14352468672977672,0.11440802887168297,0.14514303419088964,0.4535298461538461,-0.047222869066320075,2.8761583763738594,3.1247096953848397,3.9641435188304244,1.2686437798319055,0.18201848546838545,0.0018567244592111363,0.0061047881096483415,5.5753835945398595,36.28171033899396,3145.9922275345784,113.62953436691592,4105.030090738743,12164.085810813174,55.066892895529,0.036118822345586034,0.0002446916706348321,0.001871027056860381
B007DE,B,007,DE,0.02146395612980769,0.13846144287237755,0.10836969492574837,0.14008180273080223,0.4912892307692307,-0.11422992100101789,3.3097268811648752,3.5071595395823842,4.533455880870083,1.29262892939564,0.1785293070695319,0.0020076727812406788,0.005820514557187755,5.53246966830567,38.81284182292114,3771.876738406344,171.4104756819634,5372.307284003967,15274.14875071771,60.00388539690059,0.04544434709029915,0.00015487123570629997,0.0013637015294609774
B007DE,B,007,DE,0.02056491346153846,0.14150305766066743,0.11224585211651142,0.1429554269036955,0.4912892307692307,-0.09944899217600163,3.068656890283127,3.4366602332641527,4.376903212951437,1.273592067841469,0.18009258159345348,0.0019223935992476158,0.005986731114033351,5.240293379700994,31.466443048939112,3330.102241978729,135.5514779266587,4543.958935968257,13724.613226366992,56.52035707647352,0.0407048997529021,0.00017497950175798756,0.0012500016811022832
B007DE,B,007,DE,0.020860214242788458,0.15012006735320402,0.12167624729567308,0.1515261668400221,0.4522781538461538,-0.02196496086010063,2.7290366384646703,2.9848188156416495,3.717061989486893,1.245322486580423,0.18722155726858497,0.0019205111961401406,0.006385185643295821,6.841860091837034,66.38159642301048,3281.74896533669,129.04495313438701,4409.17189348045,13354.486411413302,56.14894488948393,0.0393220061916429,0.0004130677716354635,0.005006620262995945
B007DE,B,007,DE,0.01985390985576923,0.15208406904573543,0.12291035988323505,0.15333769289257967,0.4923323076923077,0.05773539672695135,2.7599420083723682,3.2107715878913727,4.005620910719192,1.2475571061564754,0.19019390559884816,0.0019515390413517592,0.00646297861649816,6.144154232184416,48.403386056548506,3163.078975970804,123.21866480183333,4217.226546747639,12967.897502445683,55.134928232192074,0.038955291896882016,0.0003319698518382795,0.003137130142922031
B007DE,B,007,DE,0.020243943209134613,0.14536101024287415,0.11820619681989229,0.1467287403304172,0.4923323076923077,0.07420650862041485,2.579444141820011,3.355391088232808,4.165029591828097,1.2412948244497195,0.18112566194126414,0.001893976712514724,0.006172463060622916,5.8845885749547735,41.918262418182714,3174.103753768886,125.1181082401342,4282.565753016384,13264.03236372965,55.21762078837472,0.03941840530309406,0.0002556414686806159,0.002154255621207747
B007DE,B,007,DE,0.02056246875,0.1411900160548095,0.11580140810922475,0.14264537165001484,0.49087200000000003,-0.09010873721173714,2.6087805684158747,3.4412052373095623,4.2389121860850425,1.2318103378800944,0.17428856655203243,0.0020213834665670366,0.005939453728785804,5.54188275378828,37.21661000971889,3824.758022889968,178.69035879237822,5515.886781439531,15527.355533905173,60.382676854356085,0.04671938923272346,0.00014104583347069097,0.001150428022254617
B007DE,B,007,DE,0.01810451502403846,0.13639286331374303,0.1100403576313899,0.13755618170280848,0.49087200000000003,-0.1363026856559526,2.9035346111451994,3.568520105192611,4.460836102008222,1.2500521141851457,0.1700922859753433,0.0019065028158013096,0.005747507335942991,5.528114536359789,37.62176327451314,3632.373006352365,159.67516098469704,5154.35672338607,14952.687956726271,58.92960075690033,0.043958910801686395,0.00014823768917808015,0.0012346286490406671
